FID,gridcode,ELEV,AREA_GEO
0,1,1746.55,2.08041597
1,2,1766.1,1.610321975
2,3,1785.65,1.720343959
3,4,1805.2,2.41048194
4,5,1824.75,1.46029193
5,6,1844.3,1.310261951
6,7,1863.85,1.140227954
7,8,1883.4,1.190237949
8,9,1902.95,1.430285938
9,10,1922.5,1.940387879
10,11,1942.05,1.520303912
11,12,1961.6,1.220243928
12,13,1981.15,0.910181939
13,14,2000.7,1.090217929
14,15,2020.25,1.120223918
15,16,2039.8,0.890177934
16,17,2059.35,1.010201922
17,18,2078.9,0.980195922
18,19,2098.45,1.160231906
19,20,2118,1.480295879
