FID,gridcode,ELEV,AREA_GEO
0,1,1413.7,1.850369523
1,2,1427.4,2.740547288
2,3,1441.1,2.360471379
3,4,1454.8,2.230445409
4,5,1468.5,2.120423435
5,6,1482.2,2.240447395
6,7,1495.9,2.150429414
7,8,1509.6,2.180435393
8,9,1523.3,1.900379459
9,10,1537,1.860371453
10,11,1550.7,1.400279573
11,12,1564.4,1.320263581
12,13,1578.1,1.120223634
13,14,1591.8,1.09021764
14,15,1605.5,1.320263557
15,16,1619.2,1.420283514
16,17,1632.9,1.510301474
17,18,1646.6,1.910381315
18,19,1660.3,1.790357339
19,20,1674,1.330265502
