FID,gridcode,ELEV,AREA_GEO
0,1,1723.25,9.441887894
1,2,1743.5,5.761151958
2,3,1763.75,5.521103938
3,4,1784,5.031005959
4,5,1804.25,4.190837941
5,6,1824.5,3.600719987
6,7,1844.75,2.96059196
7,8,1865,2.700539958
8,9,1885.25,2.330465956
9,10,1905.5,2.710541935
10,11,1925.75,1.950389961
11,12,1946,2.14042794
12,13,1966.25,1.160231964
13,14,1986.5,1.000199972
14,15,2006.75,0.970193969
15,16,2027,0.680135968
16,17,2047.25,0.380075971
17,18,2067.5,0.310061977
18,19,2087.75,0.230045983
19,20,2108,0.170033988
