FID,gridcode,AREA_GEO,ELEV
0,1,7.54149953,1773.85
1,2,10.94217565,1793.7
2,3,12.59250347,1813.55
3,4,11.66231837,1833.4
4,5,10.25203772,1853.25
5,6,8.93177526,1873.1
6,7,6.781347689,1892.95
7,8,6.711333899,1912.8
8,9,6.561304068,1932.65
9,10,5.991190666,1952.5
10,11,4.920977706,1972.35
11,12,4.520897983,1992.2
12,13,5.341060695,2012.05
13,14,5.611114017,2031.9
14,15,5.831157522,2051.75
15,16,5.511093958,2071.6
16,17,5.321056114,2091.45
17,18,6.691328008,2111.3
18,19,5.711133437,2131.15
19,20,4.280849437,2151
