FID,gridcode,ELEV,AREA_GEO
0,1,1470.9,0.960191878
1,2,1490.8,0.760151896
2,3,1510.7,0.510101932
3,4,1530.6,0.490097931
4,5,1550.5,0.640127912
5,6,1570.4,0.780155886
6,7,1590.3,0.96019188
7,8,1610.2,1.460291762
8,9,1630.1,2.440487568
9,10,1650,2.730545509
10,11,1669.9,3.470693325
11,12,1689.8,4.140827148
12,13,1709.7,4.27085308
13,14,1729.6,4.430884992
14,15,1749.5,4.570912909
15,16,1769.4,3.760751071
16,17,1789.3,5.611120539
17,18,1809.2,3.56071109
18,19,1829.1,2.37047342
19,20,1849,0.820163798
