FID,gridcode,ELEV,AREA_GEO
0,1,1631.05,11.87237394
1,2,1651.1,13.55271042
2,3,1671.15,13.64272825
3,4,1691.2,13.95279023
4,5,1711.25,13.22264424
5,6,1731.3,13.56271212
6,7,1751.35,12.67253407
7,8,1771.4,13.3826763
8,9,1791.45,13.68273596
9,10,1811.5,9.841968262
10,11,1831.55,8.741747592
11,12,1851.6,7.451489823
12,13,1871.65,6.511301844
13,14,1891.7,6.391277783
14,15,1911.75,6.381275815
15,16,1931.8,9.061811813
16,17,1951.85,5.411081788
17,18,1971.9,3.120623595
18,19,1991.95,2.770553599
19,20,2012,3.060611401
