FID,gridcode,ELEV,AREA_GEO
0,1,1740.85,1.890377963
1,2,1761.7,3.670733882
2,3,1782.55,3.600719872
3,4,1803.4,3.21064184
4,5,1824.25,2.940587844
5,6,1845.1,3.190637819
6,7,1865.95,2.870573842
7,8,1886.8,3.120623807
8,9,1907.65,2.980595812
9,10,1928.5,3.010601799
10,11,1949.35,3.060611781
11,12,1970.2,3.090617763
12,13,1991.05,3.200639742
13,14,2011.9,3.080615739
14,15,2032.75,1.870373827
15,16,2053.6,0.990197898
16,17,2074.45,0.710141922
17,18,2095.3,0.620123932
18,19,2116.15,0.560111939
19,20,2137,0.350069961
