FID,gridcode,ELEV,AREA_GEO
0,1,1705.95,7.501499902
1,2,1728.9,5.501099957
2,3,1751.85,5.331065958
3,4,1774.8,5.011001849
4,5,1797.75,4.430885877
5,6,1820.7,3.970793862
6,7,1843.65,3.660731852
7,8,1866.6,3.010601863
8,9,1889.55,2.700539882
9,10,1912.5,2.250449902
10,11,1935.45,1.620323917
11,12,1958.4,1.190237915
12,13,1981.35,1.050209912
13,14,2004.3,1.050209902
14,15,2027.25,0.930185913
15,16,2050.2,0.800159921
16,17,2073.15,0.69013793
17,18,2096.1,0.560111942
18,19,2119.05,0.820163911
19,20,2142,1.260251862
