FID,gridcode,ELEV,AREA_GEO
0,1,1626.1,7.961592134
1,2,1646.2,8.101620135
2,3,1666.3,7.901579475
3,4,1686.4,6.741348659
4,5,1706.5,5.301060056
5,6,1726.6,4.400880138
6,7,1746.7,3.920784031
7,8,1766.8,3.990798016
8,9,1786.9,4.490897872
9,10,1807,4.340868134
10,11,1827.1,4.550910019
11,12,1847.2,5.061011984
12,13,1867.3,6.011201981
13,14,1887.4,7.411481926
14,15,1907.5,9.331865841
15,16,1927.6,10.48209572
16,17,1947.7,13.2226438
17,18,1967.8,19.09381735
18,19,1987.9,11.08221523
19,20,2008,4.050809625
