FID,gridcode,ELEV,AREA_GEO
0,1,1604.3,7.481496063
1,2,1619.6,4.210842058
2,3,1634.9,3.670734049
3,4,1650.2,3.670734069
4,5,1665.5,3.320664017
5,6,1680.8,2.930586048
6,7,1696.1,3.360672038
7,8,1711.4,2.890578131
8,9,1726.7,2.810562007
9,10,1742,2.710542035
10,11,1757.3,2.950590076
11,12,1772.6,2.570514051
12,13,1787.9,2.640527931
13,14,1803.2,3.230645987
14,15,1818.5,3.28065602
15,16,1833.8,4.230846051
16,17,1849.1,1.720344011
17,18,1864.4,0.540107982
18,19,1879.7,0.360071987
19,20,1895,0.180035993
