FID,gridcode,ELEV,AREA_GEO
0,1,1665.9,19.53390036
1,2,1685.8,16.123219
2,3,1705.7,13.13262181
3,4,1725.6,11.12222043
4,5,1745.5,8.671731228
5,6,1765.4,8.031603477
6,7,1785.3,6.271251958
7,8,1805.2,5.321062258
8,9,1825.1,4.710940474
9,10,1845,4.120822649
10,11,1864.9,3.310660892
11,12,1884.8,3.080614905
12,13,1904.7,2.930584906
13,14,1924.6,3.410680778
14,15,1944.5,2.910580736
15,16,1964.4,3.370672425
16,17,1984.3,3.210640465
17,18,2004.2,2.770552637
18,19,2024.1,2.550508725
19,20,2044,2.230444774
