FID,gridcode,AREA_GEO,ELEV
0,1,9.831961872,1715.35
1,2,15.8031536,1737.7
2,3,11.84236333,1760.05
3,4,9.861968257,1782.4
4,5,12.05240566,1804.75
5,6,12.57250954,1827.1
6,7,9.981992546,1849.45
7,8,9.101816971,1871.8
8,9,10.41207868,1894.15
9,10,11.76234846,1916.5
10,11,11.90237663,1938.85
11,12,9.561909484,1961.2
12,13,7.491496157,1983.55
13,14,7.411480247,2005.9
14,15,6.771352412,2028.25
15,16,4.680934863,2050.6
16,17,3.630725116,2072.95
17,18,4.280854946,2095.3
18,19,4.670932878,2117.65
19,20,2.66053141,2140
