FID,gridcode,ELEV,AREA_GEO
0,1,1764.25,2.65052995
1,2,1785.5,2.920583959
2,3,1806.75,3.85076993
3,4,1828,3.470693967
4,5,1849.25,3.620723976
5,6,1870.5,4.230845972
6,7,1891.75,4.430885952
7,8,1913,5.261052031
8,9,1934.25,5.201040018
9,10,1955.5,6.101220021
10,11,1976.75,5.981195951
11,12,1998,5.501100056
12,13,2019.25,5.49109801
13,14,2040.5,4.740948055
14,15,2061.75,4.980996065
15,16,2083,4.830966113
16,17,2104.25,4.940988031
17,18,2125.5,7.53150615
18,19,2146.75,8.211642063
19,20,2168,4.530906105
