FID,gridcode,ELEV,AREA_GEO
0,1,1557.75,6.281255855
1,2,1569.5,5.701140265
2,3,1581.25,4.810962061
3,4,1593,5.041008067
4,5,1604.75,4.800960034
5,6,1616.5,5.081016085
6,7,1628.25,4.600920063
7,8,1640,5.041007992
8,9,1651.75,4.400880045
9,10,1663.5,5.131026069
10,11,1675.25,5.561112049
11,12,1687,6.511302056
12,13,1698.75,6.701340089
13,14,1710.5,8.951790105
14,15,1722.25,11.92238416
15,16,1734,15.99319823
16,17,1745.75,18.95379033
17,18,1757.5,11.94238818
18,19,1769.25,8.521704105
19,20,1781,4.500900054
