FID,gridcode,ELEV,AREA_GEO
0,1,1637.3,21.68433576
1,2,1650.6,7.021403924
2,3,1663.9,5.421083926
3,4,1677.2,4.720943934
4,5,1690.5,3.530705987
5,6,1703.8,2.770553968
6,7,1717.1,2.500499987
7,8,1730.4,1.890378007
8,9,1743.7,1.220244018
9,10,1757,1.130226019
10,11,1770.3,1.170234022
11,12,1783.6,0.900180015
12,13,1796.9,0.760152013
13,14,1810.2,1.020204023
14,15,1823.5,0.84016802
15,16,1836.8,0.950190023
16,17,1850.1,1.180236028
17,18,1863.4,1.150230029
18,19,1876.7,1.040208036
19,20,1890,0.590118049
