FID,gridcode,ELEV,AREA_GEO
0,1,1384.85,6.781353946
1,2,1399.7,3.570712994
2,3,1414.55,2.790557204
3,4,1429.4,2.320463283
4,5,1444.25,2.620523237
5,6,1459.1,2.870573216
6,7,1473.95,2.060411408
7,8,1488.8,2.080415348
8,9,1503.65,1.900379431
9,10,1518.5,1.920383626
10,11,1533.35,1.560311228
11,12,1548.2,1.550309504
12,13,1563.05,1.500299461
13,14,1577.9,1.450289381
14,15,1592.75,1.430285513
15,16,1607.6,1.360271463
16,17,1622.45,1.580315397
17,18,1637.3,1.770353318
18,19,1652.15,1.410281453
19,20,1667,1.170233538
