FID,gridcode,ELEV,AREA_GEO
0,1,1559.7,4.660931813
1,2,1579.4,4.050809928
2,3,1599.1,4.000799902
3,4,1618.8,3.680735871
4,5,1638.5,4.400879868
5,6,1658.2,4.470893877
6,7,1677.9,4.300859853
7,8,1697.6,4.430885859
8,9,1717.3,4.670933823
9,10,1737,3.850769842
10,11,1756.7,3.5707138
11,12,1776.4,4.800959817
12,13,1796.1,4.1608317
13,14,1815.8,3.180635765
14,15,1835.5,2.870573783
15,16,1855.2,2.310461818
16,17,1874.9,2.480495795
17,18,1894.6,2.470493777
18,19,1914.3,2.050409804
19,20,1934,1.840367805
