FID,gridcode,ELEV,AREA_GEO
0,1,1658.35,4.550908755
1,2,1673.7,2.31046138
2,3,1689.05,1.960391497
3,4,1704.4,1.670333588
4,5,1719.75,2.390477461
5,6,1735.1,1.950389574
6,7,1750.45,1.760351628
7,8,1765.8,1.950389603
8,9,1781.15,2.330465542
9,10,1796.5,2.680535499
10,11,1811.85,2.660531523
11,12,1827.2,2.250449611
12,13,1842.55,2.060411659
13,14,1857.9,1.940387685
14,15,1873.25,1.810361717
15,16,1888.6,1.810361729
16,17,1903.95,1.750349748
17,18,1919.3,1.870373739
18,19,1934.65,1.860371752
19,20,1950,1.220243844
