FID,gridcode,ELEV,AREA_GEO
0,1,1585.7,17.49349856
1,2,1610.4,15.27305436
2,3,1635.1,15.39307837
3,4,1659.8,17.36347241
4,5,1684.5,20.87417432
5,6,1709.2,22.39447836
6,7,1733.9,23.56471225
7,8,1758.6,36.77735444
8,9,1783.3,14.77295381
9,10,1808,10.67213377
10,11,1832.7,7.401479921
11,12,1857.4,8.101619573
12,13,1882.1,8.091617718
13,14,1906.8,8.121623677
14,15,1931.5,8.68173555
15,16,1956.2,9.031805653
16,17,1980.9,10.13202533
17,18,2005.6,13.29265705
18,19,2030.3,5.541107705
19,20,2055,3.480695841
