FID,gridcode,ELEV,AREA_GEO
0,1,1697.8,15.25304994
1,2,1722.6,13.90277994
2,3,1747.4,9.981996023
3,4,1772.2,8.231646133
4,5,1797,6.271254184
5,6,1821.8,6.951390178
6,7,1846.6,8.561712092
7,8,1871.4,11.88237635
8,9,1896.2,9.321864231
9,10,1921,8.691738311
10,11,1945.8,9.301860218
11,12,1970.6,8.761752242
12,13,1995.4,7.511502235
13,14,2020.2,7.041408202
14,15,2045,7.831566227
15,16,2069.8,9.851970292
16,17,2094.6,9.561912235
17,18,2119.4,8.901780253
18,19,2144.2,8.761752243
19,20,2169,5.221044178
