FID,gridcode,ELEV,AREA_GEO
0,1,1695.85,1.890378047
1,2,1716.7,2.730546026
2,3,1737.55,3.700740083
3,4,1758.4,4.900980114
4,5,1779.25,6.451290127
5,6,1800.1,7.111422199
6,7,1820.95,7.071414163
7,8,1841.8,8.061612226
8,9,1862.65,8.731746145
9,10,1883.5,9.671934353
10,11,1904.35,8.961792315
11,12,1925.2,8.461692197
12,13,1946.05,7.731546241
13,14,1966.9,7.5215042
14,15,1987.75,7.011402251
15,16,2008.6,6.771354126
16,17,2029.45,7.161432148
17,18,2050.3,4.25085011
18,19,2071.15,4.35087011
19,20,2092,5.13102616
