FID,gridcode,ELEV,AREA_GEO
0,1,1582.45,2.980596077
1,2,1595.9,1.450290035
2,3,1609.35,2.000400051
3,4,1622.8,1.890378039
4,5,1636.25,2.050410045
5,6,1649.7,1.87037404
6,7,1663.15,2.050410044
7,8,1676.6,1.730346037
8,9,1690.05,1.800360036
9,10,1703.5,1.590318026
10,11,1716.95,2.030406038
11,12,1730.4,2.220444043
12,13,1743.85,2.280456039
13,14,1757.3,2.890578042
14,15,1770.75,4.600920042
15,16,1784.2,2.250450045
16,17,1797.65,0.750150022
17,18,1811.1,1.280256043
18,19,1824.55,0.76015202
19,20,1838,0.350070009
