FID,gridcode,ELEV,AREA_GEO
0,1,1735.05,7.55150997
1,2,1757.1,6.991397933
2,3,1779.15,7.071414055
3,4,1801.2,4.000800011
4,5,1823.25,3.030606061
5,6,1845.3,3.080616049
6,7,1867.35,3.380676054
7,8,1889.4,3.310662071
8,9,1911.45,4.110822092
9,10,1933.5,4.3708741
10,11,1955.55,4.480896346
11,12,1977.6,4.240847878
12,13,1999.65,4.340868082
13,14,2021.7,4.620924108
14,15,2043.75,4.720944133
15,16,2065.8,4.680936141
16,17,2087.85,4.590918098
17,18,2109.9,5.341068169
18,19,2131.95,8.901780236
19,20,2154,8.421684247
