FID,gridcode,AREA_GEO,ELEV
0,1,10.72213273,1762.3
1,2,8.891768746,1782.6
2,3,8.011593549,1802.9
3,4,7.8815676,1823.2
4,5,7.041400504,1843.5
5,6,7.371465984,1863.8
6,7,7.981587252,1884.1
7,8,7.50149171,1904.4
8,9,8.341658889,1924.7
9,10,9.551899994,1945
10,11,11.1522187,1965.3
11,12,8.541699015,1985.6
12,13,9.051800634,2005.9
13,14,8.371664804,2026.2
14,15,7.901571392,2046.5
15,16,8.101611177,2066.8
16,17,8.261642679,2087.1
17,18,4.690932383,2107.4
18,19,2.600516594,2127.7
19,20,1.180234391,2148
