FID,gridcode,ELEV,AREA_GEO
0,1,1655.25,8.901777744
1,2,1673.5,9.251847367
2,3,1691.75,10.40207696
3,4,1710,8.951787366
4,5,1728.25,7.311459818
5,6,1746.5,6.131224117
6,7,1764.75,5.041006439
7,8,1783,4.810960492
8,9,1801.25,3.720742833
9,10,1819.5,3.06061101
10,11,1837.75,2.750549139
11,12,1856,2.200439278
12,13,1874.25,1.820363374
13,14,1892.5,1.560311425
14,15,1910.75,1.04020757
15,16,1929,1.030205556
16,17,1947.25,0.960191581
17,18,1965.5,0.830165629
18,19,1983.75,0.730145667
19,20,2002,0.790157628
