FID,gridcode,AREA_GEO,ELEV
0,1,12.82255792,1693.25
1,2,10.46208729,1709.5
2,3,4.830963694,1725.75
3,4,3.690736168,1742
4,5,3.000598483,1758.25
5,6,2.520502726,1774.5
6,7,1.940387008,1790.75
7,8,1.510301211,1807
8,9,1.140227392,1823.25
9,10,0.790157567,1839.5
10,11,0.810161552,1855.75
11,12,0.870173515,1872
12,13,0.760151575,1888.25
13,14,0.700139605,1904.5
14,15,0.700139604,1920.75
15,16,1.070213382,1937
16,17,0.920183454,1953.25
17,18,0.680135585,1969.5
18,19,0.440087717,1985.75
19,20,0.19003787,2002
