FID,gridcode,ELEV,AREA_GEO
0,1,1610.45,3.790758004
1,2,1626.9,2.600519993
2,3,1643.35,2.820563954
3,4,1659.8,2.600519998
4,5,1676.25,3.100619988
5,6,1692.7,2.890577998
6,7,1709.15,2.860571995
7,8,1725.6,2.570514004
8,9,1742.05,2.950589987
9,10,1758.5,2.79055798
10,11,1774.95,2.52050399
11,12,1791.4,2.830565985
12,13,1807.85,3.330666007
13,14,1824.3,3.720743995
14,15,1840.75,2.630525993
15,16,1857.2,1.660331944
16,17,1873.65,1.440287945
17,18,1890.1,1.810361925
18,19,1906.55,2.310461885
19,20,1923,4.540907674
