FID,gridcode,AREA_GEO,ELEV
0,1,1.530305118,1903.45
1,2,7.191434037,1919.9
2,3,6.901376816,1936.35
3,4,6.931382204,1952.8
4,5,8.911777362,1969.25
5,6,9.371868974,1985.7
6,7,11.01219602,2002.15
7,8,10.59211193,2018.6
8,9,11.95238304,2035.05
9,10,12.02239679,2051.5
10,11,11.90237299,2067.95
11,12,12.47248658,2084.4
12,13,10.83216029,2100.85
13,14,7.491494041,2117.3
14,15,5.771150933,2133.75
15,16,6.381272641,2150.2
16,17,5.881172951,2166.65
17,18,4.360869678,2183.1
18,19,3.130624241,2199.55
19,20,3.970791876,2216
