FID,gridcode,ELEV,AREA_GEO
0,1,1674.15,30.19603793
1,2,1695.3,20.07401356
2,3,1716.45,15.43308576
3,4,1737.6,11.15222974
4,5,1758.75,7.861571783
5,6,1779.9,6.071213859
6,7,1801.05,5.00100003
7,8,1822.2,3.960791735
8,9,1843.35,3.800759819
9,10,1864.5,3.24064809
10,11,1885.65,2.440487598
11,12,1906.8,1.680335805
12,13,1927.95,1.240247861
13,14,1949.1,1.28025586
14,15,1970.25,0.960191891
15,16,1991.4,0.830165905
16,17,2012.55,0.630125928
17,18,2033.7,0.45008995
18,19,2054.85,0.260051976
19,20,2076,0.16003198
