FID,gridcode,ELEV,AREA_GEO
0,1,1684.00,8.181635538
1,2,1708.00,7.761551463
2,3,1732.00,6.031205585
3,4,1756.00,5.651129587
4,5,1780.00,4.770953568
5,6,1804.00,5.951189388
6,7,1828.00,7.551509182
7,8,1852.00,9.371872967
8,9,1876.00,7.371473081
9,10,1900.00,7.111421048
10,11,1924.00,7.571512983
11,12,1948.00,9.291856673
12,13,1972.00,8.561710666
13,14,1996.00,12.2124399
14,15,2020.00,7.941586612
15,16,2044.00,4.86097117
16,17,2068.00,4.530905235
17,18,2092.00,4.010801304
18,19,2116.00,3.530705422
19,20,2140.00,4.500899223
