FID,gridcode,ELEV,AREA_GEO
0,1,1680.55,3.890777004
1,2,1697.1,4.200838942
2,3,1713.65,3.800759231
3,4,1730.2,3.780755142
4,5,1746.75,3.300659245
5,6,1763.3,3.180635318
6,7,1779.85,3.210641334
7,8,1796.4,3.140627371
8,9,1812.95,3.230645369
9,10,1829.5,3.69073733
10,11,1846.05,3.80075926
11,12,1862.6,3.680735329
12,13,1879.15,3.600719364
13,14,1895.7,3.62072338
14,15,1912.25,5.031005181
15,16,1928.8,5.181035183
16,17,1945.35,3.620723422
17,18,1961.9,2.000399657
18,19,1978.45,1.300259763
19,20,1995,0.920183818
