FID,gridcode,ELEV,AREA_GEO
0,1,1605.1,6.871374156
1,2,1624.2,4.540908083
2,3,1643.3,3.970794081
3,4,1662.4,3.880776075
4,5,1681.5,3.590718068
5,6,1700.6,3.450690061
6,7,1719.7,3.94078808
7,8,1738.8,4.230846077
8,9,1757.9,5.311062085
9,10,1777,6.071214103
10,11,1796.1,6.531306071
11,12,1815.2,6.51130207
12,13,1834.3,7.171434096
13,14,1853.4,7.591518107
14,15,1872.5,6.161232059
15,16,1891.6,5.161032039
16,17,1910.7,4.920984039
17,18,1929.8,4.48089606
18,19,1948.9,2.26045206
19,20,1968,1.650330041
