FID,gridcode,ELEV,AREA_GEO
0,1,1669.55,25.00499192
1,2,1684.1,18.37366779
2,3,1698.65,12.09241356
3,4,1713.2,7.611519114
4,5,1727.75,5.611119873
5,6,1742.3,4.630924205
6,7,1756.85,4.000798384
7,8,1771.4,3.700738621
8,9,1785.95,3.240646806
9,10,1800.5,3.330664802
10,11,1815.05,3.080614919
11,12,1829.6,2.630525047
12,13,1844.15,2.590517047
13,14,1858.7,2.290457169
14,15,1873.25,2.020403266
15,16,1887.8,1.720343398
16,17,1902.35,1.680335411
17,18,1916.9,1.740347492
18,19,1931.45,0.630125762
19,20,1946,0.190037912
