FID,gridcode,ELEV,AREA_GEO
0,1,1554.9,6.041207597
1,2,1575.8,5.491097607
2,3,1596.7,5.421083661
3,4,1617.6,4.570913674
4,5,1638.5,4.170833739
5,6,1659.4,3.860771635
6,7,1680.3,3.760751576
7,8,1701.2,4.410881576
8,9,1722.1,3.690737632
9,10,1743,4.060811512
10,11,1763.9,3.950789551
11,12,1784.8,4.640927483
12,13,1805.7,5.301059363
13,14,1826.6,5.04100731
14,15,1847.5,5.361071298
15,16,1868.4,5.661131227
16,17,1889.3,5.491097191
17,18,1910.2,5.731145152
18,19,1931.1,5.071013257
19,20,1952,3.560711527
