FID,gridcode,AREA_GEO,ELEV
0,1,19.88396431,1705.75
1,2,14.4928891,1728.5
2,3,11.75234269,1751.25
3,4,10.89217113,1774
4,5,9.911975649,1796.75
5,6,9.551903856,1819.5
6,7,9.101813969,1842.25
7,8,8.071608545,1865
8,9,7.15142497,1887.75
9,10,7.72153836,1910.5
10,11,7.44148237,1933.25
11,12,7.831560169,1956
12,13,7.981589474,1978.75
13,14,7.821558037,2001.5
14,15,8.071607548,2024.25
15,16,8.691730802,2047
16,17,9.191830192,2069.75
17,18,10.72213463,2092.5
18,19,16.67331836,2115.25
19,20,14.09280491,2138
