FID,gridcode,ELEV,AREA_GEO
0,1,1438.55,1.670333651
1,2,1458.1,1.180235759
2,3,1477.65,0.820163834
3,4,1497.2,0.800159841
4,5,1516.75,0.800159838
5,6,1536.3,1.020203799
6,7,1555.85,1.280255755
7,8,1575.4,1.710341699
8,9,1594.95,2.07041365
9,10,1614.5,2.880575604
10,11,1634.05,3.280655569
11,12,1653.6,2.600519658
12,13,1673.15,2.680535701
13,14,1692.7,2.520503738
14,15,1712.25,2.590517732
15,16,1731.8,2.320463778
16,17,1751.35,2.200439803
17,18,1770.9,2.280455824
18,19,1790.45,2.980595768
19,20,1810,7.161431518
