FID,gridcode,ELEV,AREA_GEO
0,1,1577.1,6.491298175
1,2,1589.2,4.430886144
2,3,1601.3,4.280856248
3,4,1613.4,3.700740055
4,5,1625.5,3.630726092
5,6,1637.6,3.470694037
6,7,1649.7,3.150630141
7,8,1661.8,3.060612018
8,9,1673.9,2.950590071
9,10,1686,2.920584175
10,11,1698.1,3.320663995
11,12,1710.2,3.200640103
12,13,1722.3,3.250650047
13,14,1734.4,2.74054808
14,15,1746.5,2.240448096
15,16,1758.6,2.240447983
16,17,1770.7,1.190238034
17,18,1782.8,0.940188027
18,19,1794.9,0.700140024
19,20,1807,0.330066005
