FID,gridcode,ELEV,AREA_GEO
0,1,1626.15,17.86357223
1,2,1643.3,7.741548087
2,3,1660.45,7.341468048
3,4,1677.6,6.83136601
4,5,1694.75,5.87117401
5,6,1711.9,4.770953977
6,7,1729.05,3.770753985
7,8,1746.2,2.940587981
8,9,1763.35,2.450489966
9,10,1780.5,2.070413943
10,11,1797.65,1.470293937
11,12,1814.8,1.330265933
12,13,1831.95,1.55030991
13,14,1849.1,1.88037588
14,15,1866.25,1.63032588
15,16,1883.4,1.290257896
16,17,1900.55,1.210241892
17,18,1917.7,1.020203904
18,19,1934.85,0.610121937
19,20,1952,0.600119934
