FID,gridcode,AREA_GEO,ELEV
0,1,2.200439004,1745.95
1,2,4.100818127,1765.9
2,3,6.451286992,1785.85
3,4,8.901775852,1805.8
4,5,11.11221674,1825.75
5,6,11.55230457,1845.7
6,7,11.81235642,1865.65
7,8,13.18262935,1885.6
8,9,13.76274524,1905.55
9,10,13.71273518,1925.5
10,11,12.76254555,1945.45
11,12,12.62251758,1965.4
12,13,11.57230813,1985.35
13,14,9.681931148,2005.3
14,15,8.361667839,2025.25
15,16,6.361269143,2045.2
16,17,4.270852522,2065.15
17,18,3.990796615,2085.1
18,19,6.711339833,2105.05
19,20,5.691136131,2125
