FID,gridcode,ELEV,AREA_GEO
0,1,1675.8,3.160630717
1,2,1681.6,4.950987898
2,3,1687.4,3.440686569
3,4,1693.2,3.290656677
4,5,1699,2.350469033
5,6,1704.8,2.210441083
6,7,1710.6,2.160431137
7,8,1716.4,1.300259443
8,9,1722.2,1.160231515
9,10,1728,0.840167651
10,11,1733.8,0.920183624
11,12,1739.6,0.870173646
12,13,1745.4,0.670133732
13,14,1751.2,0.540107785
14,15,1757,0.450089822
15,16,1762.8,0.500099813
16,17,1768.6,0.300059887
17,18,1774.4,0.150029945
18,19,1780.2,0.120023959
19,20,1786,0.080015975
