FID,gridcode,ELEV,AREA_GEO
0,1,1787.9,3.890777875
1,2,1808.8,6.41128183
2,3,1829.7,6.411281799
3,4,1850.6,6.34126782
4,5,1871.5,6.761351769
5,6,1892.4,6.851369796
6,7,1913.3,6.791357793
7,8,1934.2,6.131225805
8,9,1955.1,5.651129839
9,10,1976,4.960991877
10,11,1996.9,4.180835896
11,12,2017.8,4.440887904
12,13,2038.7,4.060811847
13,14,2059.6,4.550909892
14,15,2080.5,4.080815956
15,16,2101.4,5.261051764
16,17,2122.3,3.430685977
17,18,2143.2,2.720543984
18,19,2164.1,4.890978112
19,20,2185,5.971194115
