FID,gridcode,AREA_GEO,ELEV
0,1,6.091210906,1785.7
1,2,4.940982448,1808.4
2,3,6.231239254,1831.1
3,4,6.451283415,1853.8
4,5,7.59151057,1876.5
5,6,5.781150624,1899.2
6,7,5.901174553,1921.9
7,8,4.380872268,1944.6
8,9,4.710937929,1967.3
9,10,5.731141193,1990
10,11,7.121418276,2012.7
11,12,7.461486148,2035.4
12,13,7.911575994,2058.1
13,14,8.301654031,2080.8
14,15,6.59131335,2103.5
15,16,3.730743477,2126.2
16,17,3.770751538,2148.9
17,18,4.370871163,2171.6
18,19,6.881371765,2194.3
19,20,10.0219982,2217
