FID,gridcode,ELEV,AREA_GEO
0,1,1617.9,12.62252402
1,2,1636.8,8.071613971
2,3,1655.7,8.171633963
3,4,1674.6,7.501499875
4,5,1693.5,7.291457943
5,6,1712.4,7.311461945
6,7,1731.3,7.231445939
7,8,1750.2,7.221443938
8,9,1769.1,7.421483869
9,10,1788,7.711541862
10,11,1806.9,7.191437812
11,12,1825.8,6.781355781
12,13,1844.7,5.961191745
13,14,1863.6,6.471293694
14,15,1882.5,7.321463613
15,16,1901.4,8.331665515
16,17,1920.3,12.31246117
17,18,1939.2,6.401279524
18,19,1958.1,5.62112353
19,20,1977,4.010801617
