FID,gridcode,ELEV,AREA_GEO
0,1,1452.65,1.62032375
1,2,1472.3,1.270253819
2,3,1491.95,1.1602318
3,4,1511.6,1.230245795
4,5,1531.25,1.270253862
5,6,1550.9,1.3402678
6,7,1570.55,1.410281809
7,8,1590.2,1.28025576
8,9,1609.85,2.470493763
9,10,1629.5,2.930585661
10,11,1649.15,2.510501731
11,12,1668.8,2.370473762
12,13,1688.45,1.920383829
13,14,1708.1,2.110421814
14,15,1727.75,2.310461809
15,16,1747.4,2.730545802
16,17,1767.05,2.500499831
17,18,1786.7,2.500499842
18,19,1806.35,3.040607826
19,20,1826,4.820963795
