FID,gridcode,ELEV,AREA_GEO
0,1,1653.7,23.57471328
1,2,1668.4,12.57251353
2,3,1683.1,9.481895598
3,4,1697.8,5.051009701
4,5,1712.5,3.460691789
5,6,1727.2,3.140627792
6,7,1741.9,2.510501822
7,8,1756.6,2.400479819
8,9,1771.3,2.120423831
9,10,1786,1.790357855
10,11,1800.7,1.400279879
11,12,1815.4,1.450289871
12,13,1830.1,1.290257896
13,14,1844.8,1.210241874
14,15,1859.5,1.460291857
15,16,1874.2,1.340267864
16,17,1888.9,1.220243874
17,18,1903.6,1.280255865
18,19,1918.3,1.080215878
19,20,1933,0.530105938
