FID,gridcode,ELEV,AREA_GEO
0,1,1843.05,1.630325908
1,2,1860.1,3.6607318
2,3,1877.15,4.18083574
3,4,1894.2,4.670933713
4,5,1911.25,4.850969705
5,6,1928.3,5.000999685
6,7,1945.35,4.880975672
7,8,1962.4,5.171033649
8,9,1979.45,5.371073626
9,10,1996.5,5.631125606
10,11,2013.55,5.961191613
11,12,2030.6,4.640927654
12,13,2047.65,3.460691708
13,14,2064.7,2.650529738
14,15,2081.75,1.910381776
15,16,2098.8,1.510301824
16,17,2115.85,1.320263828
17,18,2132.9,1.180235849
18,19,2149.95,1.030205862
19,20,2167,1.600319778
