FID,gridcode,ELEV,AREA_GEO
0,1,1703.1,1.960391329
1,2,1719.2,3.710740677
2,3,1735.3,3.740746644
3,4,1751.4,3.900778577
4,5,1767.5,4.340866394
5,6,1783.6,4.260850419
6,7,1799.7,4.500898319
7,8,1815.8,4.780954203
8,9,1831.9,5.23104403
9,10,1848,5.481093922
10,11,1864.1,6.091215666
11,12,1880.2,5.931183738
12,13,1896.3,6.061209684
13,14,1912.4,7.621521006
14,15,1928.5,11.03220159
15,16,1944.6,9.971990197
16,17,1960.7,10.00199626
17,18,1976.8,8.581712786
18,19,1992.9,8.251646929
19,20,2009,6.49129519
