FID,gridcode,ELEV,AREA_GEO
0,1,1637.25,8.021604063
1,2,1653.5,5.681136148
2,3,1669.75,5.151029969
3,4,1686,5.80116019
4,5,1702.25,5.85116994
5,6,1718.5,6.051210373
6,7,1734.75,6.191238211
7,8,1751,6.571314218
8,9,1767.25,7.651530204
9,10,1783.5,8.861772196
10,11,1799.75,6.701340288
11,12,1816,7.081416132
12,13,1832.25,6.741348219
13,14,1848.5,6.491298195
14,15,1864.75,6.701340138
15,16,1881,6.081216131
16,17,1897.25,5.041008101
17,18,1913.5,5.691138155
18,19,1929.75,7.561512115
19,20,1946,7.701540046
