FID,gridcode,AREA_GEO,ELEV
0,1,17.25342848,1793.55
1,2,21.72431563,1815.1
2,3,16.24322649,1836.65
3,4,13.26263506,1858.2
4,5,13.68271895,1879.75
5,6,10.07200051,1901.3
6,7,8.051598791,1922.85
7,8,9.611907987,1944.4
8,9,8.931772689,1965.95
9,10,7.131415548,1987.5
10,11,8.191626461,2009.05
11,12,9.131813433,2030.6
12,13,10.5520957,2052.15
13,14,10.07199998,2073.7
14,15,9.801945624,2095.25
15,16,9.091804225,2116.8
16,17,8.491685277,2138.35
17,18,7.461480701,2159.9
18,19,6.981387391,2181.45
19,20,4.660928958,2203
