FID,gridcode,ELEV,AREA_GEO
0,1,1768.05,4.840967885
1,2,1787.1,3.510701909
2,3,1806.15,3.100619916
3,4,1825.2,2.570513922
4,5,1844.25,2.280455923
5,6,1863.3,2.090417928
6,7,1882.35,1.730345941
7,8,1901.4,1.320263952
8,9,1920.45,1.160231965
9,10,1939.5,1.18023596
10,11,1958.55,0.970193949
11,12,1977.6,0.650129955
12,13,1996.65,0.520103961
13,14,2015.7,0.490097962
14,15,2034.75,0.550109955
15,16,2053.8,0.57011395
16,17,2072.85,0.530105953
17,18,2091.9,0.500099953
18,19,2110.95,0.52010395
19,20,2130,0.57011393
