FID,gridcode,ELEV,AREA_GEO
0,1,1678.25,15.45308452
1,2,1695.5,14.66292686
2,3,1712.75,10.67213044
3,4,1730,7.831563468
4,5,1747.25,7.111419659
5,6,1764.5,7.121421717
6,7,1781.75,6.101217951
7,8,1799,5.571112198
8,9,1816.25,4.720942542
9,10,1833.5,4.330864677
10,11,1850.75,3.520702925
11,12,1868,3.340666972
12,13,1885.25,2.86057112
13,14,1902.5,2.600519198
14,15,1919.75,2.720543108
15,16,1937,2.790557062
16,17,1954.25,1.920383467
17,18,1971.5,1.880375569
18,19,1988.75,1.83036562
19,20,2006,1.90037962
