FID,gridcode,ELEV,AREA_GEO
0,1,1820.3,3.260651896
1,2,1841.6,6.701339693
2,3,1862.9,7.741547625
3,4,1884.2,7.331465627
4,5,1905.5,6.381275697
5,6,1926.8,6.681335749
6,7,1948.1,7.331465689
7,8,1969.4,6.461291886
8,9,1990.7,5.941187735
9,10,2012,5.691137792
10,11,2033.3,5.901179911
11,12,2054.6,6.321263693
12,13,2075.9,6.061211876
13,14,2097.2,5.881175739
14,15,2118.5,6.281255762
15,16,2139.8,5.491097838
16,17,2161.1,5.181035924
17,18,2182.4,6.411282071
18,19,2203.7,7.301460131
19,20,2225,6.011202068
