FID,gridcode,ELEV,AREA_GEO
0,1,1696.75,0.620123996
1,2,1712.5,1.660331998
2,3,1728.25,3.170633982
3,4,1744,4.650930001
4,5,1759.75,5.851169899
5,6,1775.5,7.691537716
6,7,1791.25,6.991397701
7,8,1807,5.771153762
8,9,1822.75,4.840967768
9,10,1838.5,4.740947734
10,11,1854.25,4.300859732
11,12,1870,4.010801766
12,13,1885.75,4.060811602
13,14,1901.5,4.350869615
14,15,1917.25,5.101019511
15,16,1933,6.871373279
16,17,1948.75,8.551708948
17,18,1964.5,4.710941508
18,19,1980.25,2.710541696
19,20,1996,1.420283855
