FID,gridcode,ELEV,AREA_GEO
0,1,1713.1,14.26285188
1,2,1737.2,10.77215398
2,3,1761.3,10.05200981
3,4,1785.4,7.791557896
4,5,1809.5,4.880975967
5,6,1833.6,4.910981933
6,7,1857.7,4.730945909
7,8,1881.8,4.590917982
8,9,1905.9,3.900780023
9,10,1930,3.200639964
10,11,1954.1,3.020604006
11,12,1978.2,3.150630026
12,13,2002.3,3.010602005
13,14,2026.4,2.950590015
14,15,2050.5,2.170434015
15,16,2074.6,2.520504034
16,17,2098.7,2.960592056
17,18,2122.8,2.800560049
18,19,2146.9,4.910982141
19,20,2171,7.961592325
