FID,gridcode,ELEV,AREA_GEO
0,1,1604.05,5.35107009
1,2,1624.1,3.350670061
2,3,1644.15,3.090618052
3,4,1664.2,2.900580048
4,5,1684.25,2.740548049
5,6,1704.3,2.790558046
6,7,1724.35,3.070613998
7,8,1744.4,3.960792065
8,9,1764.45,5.841168025
9,10,1784.5,7.591517989
10,11,1804.55,8.251649952
11,12,1824.6,8.961791913
12,13,1844.65,12.03240574
13,14,1864.7,11.80235966
14,15,1884.75,6.871373838
15,16,1904.8,6.311261843
16,17,1924.85,5.081015907
17,18,1944.9,1.930386053
18,19,1964.95,0.980196023
19,20,1985,0.450090013
