FID,gridcode,AREA_GEO,ELEV
0,1,5.881174004,1380.1
1,2,2.280455212,1392.2
2,3,1.400279509,1404.3
3,4,1.340267531,1416.4
4,5,1.260251561,1428.5
5,6,1.210241574,1440.6
6,7,0.930185671,1452.7
7,8,0.650129751,1464.8
8,9,0.690137731,1476.9
9,10,0.560111781,1489
10,11,0.530105792,1501.1
11,12,0.510101798,1513.2
12,13,0.470093813,1525.3
13,14,0.480095809,1537.4
14,15,0.480095807,1549.5
15,16,0.500099797,1561.6
16,17,0.450089816,1573.7
17,18,0.540107782,1585.8
18,19,0.420083822,1597.9
19,20,0.290057878,1610
