FID,gridcode,ELEV,AREA_GEO
0,1,1627.15,7.191438051
1,2,1647.3,5.061012059
2,3,1667.45,4.920984099
3,4,1687.6,4.650930041
4,5,1707.75,3.980796052
5,6,1727.9,3.310661999
6,7,1748.05,3.81076201
7,8,1768.2,4.520903975
8,9,1788.35,5.611121947
9,10,1808.5,5.751149915
10,11,1828.65,5.921183893
11,12,1848.8,5.851169913
12,13,1868.95,6.631325946
13,14,1889.1,6.27125392
14,15,1909.25,4.900979896
15,16,1929.4,4.91098185
16,17,1949.55,4.700939899
17,18,1969.7,1.850369946
18,19,1989.85,0.34006795
19,20,2010,0.610121993
