FID,gridcode,ELEV,AREA_GEO
0,1,1621.55,22.19443797
1,2,1630.1,13.16263173
2,3,1638.65,7.241448044
3,4,1647.2,8.941787939
4,5,1655.75,7.291457992
5,6,1664.3,7.081415956
6,7,1672.85,5.981195956
7,8,1681.4,5.771153935
8,9,1689.95,4.220843949
9,10,1698.5,3.990797956
10,11,1707.05,3.38067597
11,12,1715.6,2.710541976
12,13,1724.15,2.580515978
13,14,1732.7,2.030405984
14,15,1741.25,2.000399978
15,16,1749.8,1.500299988
16,17,1758.35,1.420283992
17,18,1766.9,0.960191997
18,19,1775.45,0.770154011
19,20,1784,0.600120011
