FID,gridcode,AREA_GEO,ELEV
0,1,1.210242043,1674.15
1,2,1.600320067,1689.3
2,3,3.320663984,1704.45
3,4,4.950990171,1719.6
4,5,6.371274221,1734.75
5,6,7.211442149,1749.9
6,7,7.971594249,1765.05
7,8,7.901580263,1780.2
8,9,7.711542203,1795.35
9,10,8.041608171,1810.5
10,11,8.761752253,1825.65
11,12,9.231846163,1840.8
12,13,9.791958345,1855.95
13,14,11.74234859,1871.1
14,15,9.161831814,1886.25
15,16,7.341468368,1901.4
16,17,7.671534194,1916.55
17,18,8.301660182,1931.7
18,19,7.301460139,1946.85
19,20,5.441088123,1962
