FID,gridcode,ELEV,AREA_GEO
0,1,1645.05,21.43428563
1,2,1657.1,12.86257193
2,3,1669.15,5.971193909
3,4,1681.2,3.740747954
4,5,1693.25,3.150629988
5,6,1705.3,2.49049799
6,7,1717.35,2.000400004
7,8,1729.4,1.91038201
8,9,1741.45,1.58031601
9,10,1753.5,1.330266011
10,11,1765.55,1.120224012
11,12,1777.6,1.010202011
12,13,1789.65,0.88017601
13,14,1801.7,1.090218012
14,15,1813.75,0.890178012
15,16,1825.8,0.88017601
16,17,1837.85,0.690138008
17,18,1849.9,0.650130009
18,19,1861.95,0.560112007
19,20,1874,0.280056008
