FID,gridcode,ELEV,AREA_GEO
0,1,1588.05,4.020804058
1,2,1602.1,1.600320034
2,3,1616.15,1.840368033
3,4,1630.2,1.680336029
4,5,1644.25,1.680336031
5,6,1658.3,1.660332029
6,7,1672.35,1.500300025
7,8,1686.4,1.520304026
8,9,1700.45,1.590318028
9,10,1714.5,1.650330028
10,11,1728.55,1.920384028
11,12,1742.6,2.050410028
12,13,1756.65,2.090418025
13,14,1770.7,2.730546034
14,15,1784.75,2.770554032
15,16,1798.8,3.010602008
16,17,1812.85,2.720544028
17,18,1826.9,2.740548014
18,19,1840.95,3.050610011
19,20,1855,3.990797968
