FID,gridcode,ELEV,AREA_GEO
0,1,1439.85,2.380475528
1,2,1456.7,1.840367645
2,3,1473.55,1.430285702
3,4,1490.4,1.250249739
4,5,1507.25,1.360271733
5,6,1524.1,1.390277703
6,7,1540.95,1.210241743
7,8,1557.8,1.510301663
8,9,1574.65,1.290257715
9,10,1591.5,0.98019576
10,11,1608.35,1.080215765
11,12,1625.2,1.420283665
12,13,1642.05,1.300259656
13,14,1658.9,1.300259665
14,15,1675.75,1.440287635
15,16,1692.6,1.420283635
16,17,1709.45,1.320263656
17,18,1726.3,1.360271639
18,19,1743.15,1.170233694
19,20,1760,1.010201799
