FID,gridcode,ELEV,AREA_GEO
0,1,1671.35,1.100220109
1,2,1686.7,1.920384041
2,3,1702.05,3.410682241
3,4,1717.4,3.890777926
4,5,1732.75,4.06081205
5,6,1748.1,4.910982184
6,7,1763.45,4.860972046
7,8,1778.8,4.990998218
8,9,1794.15,5.831165882
9,10,1809.5,5.411082246
10,11,1824.85,6.281256221
11,12,1840.2,6.571314212
12,13,1855.55,6.111222035
13,14,1870.9,5.811162238
14,15,1886.25,6.531306272
15,16,1901.6,6.491298195
16,17,1916.95,7.141428097
17,18,1932.3,8.471694157
18,19,1947.65,10.75215019
19,20,1963,7.201440093
