FID,gridcode,ELEV,AREA_GEO
0,1,1638.7,14.17283392
1,2,1655.4,8.631725993
2,3,1672.1,9.011801925
3,4,1688.8,7.061411866
4,5,1705.5,6.321263909
5,6,1722.2,5.491097891
6,7,1738.9,5.071013895
7,8,1755.6,4.660931896
8,9,1772.3,4.990997873
9,10,1789,4.280855911
10,11,1805.7,3.500699918
11,12,1822.4,3.510701939
12,13,1839.1,3.270653937
13,14,1855.8,3.570713945
14,15,1872.5,4.670934005
15,16,1889.2,5.091018015
16,17,1905.9,4.240847993
17,18,1922.6,2.130425902
18,19,1939.3,1.460291854
19,20,1956,1.030205931
